plant_id,plant_name,soil_moisture,temperature,last_watered,recording_at,botanist_first_name,botanist_last_name,botanist_email,botanist_phone
1,Venus flytrap,94.11815770669291,12.042444907141421,"Tue, 26 Nov 2024 13:54:32 GMT",2024-11-26 15:34:07,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
2,Corpse flower,95.45520002729754,9.159042842335564,"Tue, 26 Nov 2024 14:10:54 GMT",2024-11-26 15:34:08,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
3,Rafflesia arnoldii,97.47045641498559,10.02044906745733,"Tue, 26 Nov 2024 14:50:16 GMT",2024-11-26 15:34:09,Eliza,Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948
4,Black bat flower,91.78450851491054,11.341576353838889,"Tue, 26 Nov 2024 13:16:25 GMT",2024-11-26 15:34:09,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
5,Pitcher plant,97.84928256480606,11.207718187912969,"Tue, 26 Nov 2024 14:56:18 GMT",2024-11-26 15:34:11,Carl,Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992
6,Wollemi pine,93.40423733827618,10.980556984446613,"Tue, 26 Nov 2024 13:35:35 GMT",2024-11-26 15:34:11,Eliza,Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948
8,Bird of paradise,92.17515150894633,11.552525910705015,"Tue, 26 Nov 2024 13:23:01 GMT",2024-11-26 15:34:12,Eliza,Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948
9,Cactus,95.27500259516908,10.612491435694631,"Tue, 26 Nov 2024 14:12:43 GMT",2024-11-26 15:34:13,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
10,"Dragon tree,",91.36282073577628,13.961668756600211,"Tue, 26 Nov 2024 13:04:57 GMT",2024-11-26 15:34:13,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
11,Asclepias Curassavica,93.43550231086142,9.482358480828678,"Tue, 26 Nov 2024 13:37:24 GMT",2024-11-26 15:34:14,Gertrude,Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127
